tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2009348406112866795',BREAKING: California’s homeless population just dropped 9% statewide — the largest drop in nearly two decades. https://t.co/2RY41sZWir,en,Tweet,67,4380,630,4029,189339,2026-01-08 14:36:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009348187601940480/vid/avc1/1080x1080/hc6fQq_RcOSbDMtb.mp4?tag=21
'2012672267742835043',"Another ""timeless"" punchline from President Reagan. https://t.co/Uo07MtKvt8",en,Tweet,124,943,148,25,150117,2026-01-17 18:43:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2012669144731099136/vid/avc1/1080x1920/AIJW0WKlesGOUgjm.mp4?tag=21
'2009344374409449688',"What you won’t hear on Fox News today:

Texas and Florida are the REAL high-tax states.

They have some of the most regressive taxes in the nation — hammering low-income earners more than the rich. https://t.co/c7W1dPefXq",en,Tweet,195,6852,1568,2441,257762,2026-01-08 14:20:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009343593325215744/vid/avc1/1080x1080/DTBBzfMA--0zNuh_.mp4?tag=21
'2009343230614360193',"In California alone, Trump and @SpeakerJohnson are stripping away 1.8 million Californians’ health insurance.

All for tax breaks for the rich.

Remember that this November. https://t.co/D3Xt5iFrXi",en,Tweet,38,3014,645,701,85320,2026-01-08 14:15:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009342897464987659/vid/avc1/1080x1080/EyefpCtP3KTDMOOn.mp4?tag=21
'2009340007400747381',"To @realDonaldTrump: Your actions are cruel, unjust, and illegal. Consider this your warning. California will keep fighting — and winning. https://t.co/v2iMpVkOcr",en,Tweet,302,23444,3570,3138,267042,2026-01-08 14:02:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009339810612436992/vid/avc1/1080x1080/2MWIWbMNE1_8X7U3.mp4?tag=21
'2009337696121245852',"Crony capitalism at an unimaginable scale. Self-dealing. Profit-making, not policy-making.

Rolling back rights – attacking marginalized communities, rewriting history. Censoring historical facts. 

What is happening in Washington is not normal.",en,Tweet,61,2707,610,638,76825,2026-01-08 13:53:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009337435625541634/vid/avc1/1080x1080/9-Cho2CmDoCCNTi_.mp4?tag=21
'2009324432272019711',RT @undefined: LIVE NOW: Governor Gavin Newsom delivers his 2026 State of the State address before a joint session of the California Legislature. https://t.co/Z3EV8i3PQD,en,Retweet,54,1129,278,359,79463,2026-01-08 13:00:50,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://x.com/i/broadcasts/1lDxLByMVbkGm,,
'2009120181638058478',"Namaste, JD. https://t.co/4i4lPjudDI",in,Tweet,344,19289,1246,2286,870263,2026-01-07 23:29:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G-HUKBxa0AEZ9rL.jpg
'2009006759843938678',"When LA burned, Trump and Elon Musk spread lies.

They politicized a tragedy.

California doesn’t kneel to BS. https://t.co/MzbMCoe5XX",en,Tweet,354,26244,4073,5974,827583,2026-01-07 15:58:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009005316164485120/vid/avc1/1080x1080/03GGXoapbVzmaEcy.mp4?tag=21
'2008951465184780725',"One year later, Trump is still REFUSING to release $33.9 BILLION in fire disaster aid OWED to victims.

Promises made. Promises broken. https://t.co/EFgq4EMENB",en,Tweet,685,38062,7898,9054,1346074,2026-01-07 12:18:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2008951092080726019/vid/avc1/1080x1350/vkIm0LB33g98WjHZ.mp4?tag=21
